"you_index","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,1,-0.093733598597414,0.015909835550373,0.0221980482010388,0.0384121614590861,0.0170902705011282,-0.0054581534127478,-0.0181769468917336,-0.003403977233599,0.0145522340695049,0.0192107093321351,0.0228579380118871,0.0501219095230305,0.0163978073460499,-0.0227800146299359,-0.00191616254559936,0.00824352847078216,0.0132337035045133,-0.0264688994178325,0.0242306271479783,0.00510663427299463,-0.00736632859690255,0.00611987633753249,0.0024213539380494,-0.00712054691523279,0.0231048895560396,-0.00702645429847982,0.000201203317814992,0.00762429496106465,0.0225997018546673,-0.00341837068996388,0.0131304716626129,-0.0237552365919583,-0.00105869205565812,-0.00277348728989463,0.0123571036830006,0.0209491260951391,-0.00364320144807048,-0.0208073684547867,-0.0121521841722754,-0.00582968723645358,0.00863923114467961,0.0181203000419575,0.0169074446700195,0.018061015232805,-0.00287116243448364,-0.00557772777231723,-0.00797466875934177,-0.00555104685254585,0.0032922253215513,0.00594760171234568,0.00433044532786617,-0.00379716173811643,0.000984029708517729,0.0256452518296745,0.0165038910521103,0.00991820983125937,-0.00846785980688339,0.00875494704473337,-0.00369118726953812,8.31192645035928e-05,-0.00960118766997594,-0.0111338479633899,0.0256470561620887,-0.0150198918184417,0.0024066857434776,-0.00333823630383303,0.00305745307844734,-0.0174038326884129,0.0205592934758308,-0.0247167699275865,0.0122759125223624,0.0221482278719552,-0.009300437379336,0.00111050930073908,-0.0236186802951452
2,-0.093733598597414,1,-0.00482325263639777,0.0256062722719054,0.0158086881109128,-0.000140649520909786,0.000193289007862839,0.0148567422673225,-0.00344886195429907,-0.0112240718451646,-0.00711036256494773,-0.0107454453804372,-0.0229443565513161,-0.00260263765535889,0.0117978147859253,0.00224010842180348,-0.00200852821261906,-0.00601997293868031,0.00506689532312174,-0.0082730442591354,0.00225825819012278,0.00287977113867137,-0.00830511955167839,0.00268680494896542,0.00220112615011728,-0.0112219981292977,0.00185572187611417,-0.00195026198496813,-0.00448660749993156,-0.00849647901268454,0.000345017999780331,-0.00671611859177284,0.00764066059398132,-0.00184983986974375,-0.0065395821056778,-0.00544191408417585,-0.0110013886066076,0.00115601186974556,0.00641861240763381,0.00203739854162783,0.00174576793305778,-0.0044530163327351,-0.00671836052427603,-0.00719279411255119,-0.00746397007651906,-0.000511845384648513,0.000628607913865258,0.0123674370306688,0.00672539825827716,0.000270475624868917,-0.00121783206310888,0.00201479491182895,0.00209523849067766,-0.00228155851590919,-0.0087765696059849,-0.00867072176775547,0.000392745361680626,0.00407928551341023,-0.00789103026590035,0.000159612964461567,-0.00158955806192031,0.00419067137491428,0.00465764067262047,-0.0101367007613869,0.00566446515563912,0.000845190838467641,0.00012380227778522,-0.00136894734249145,0.00567229223674195,-0.0101723663577517,0.0107672231946309,-0.0044415504750285,-0.0132247694839206,0.0100096065854799,-0.000865074552371564,0.0119983971835848
3,0.015909835550373,-0.00482325263639777,1,0.329214033542625,0.234689925275278,-0.0515759452401115,-0.0121448230346294,0.0093090142161309,-0.0030781448349643,-0.00795829690175051,-0.00368979618526784,-0.0106842488782113,-0.0086611425642242,0.00196718467308489,0.00419584697538334,0.00253297268180094,0.00491273003963593,-0.00488142698367473,-0.00446712120711622,-9.98405860920153e-05,0.00545897060193517,0.00128387325189986,-0.00876280015331207,0.00187852460998958,-0.000145096370520836,-0.00633988770419068,-0.00202424031352006,-0.00194995547843731,-0.000849904058741644,-0.00453135295734803,-0.00156795766094148,-0.00274632372358585,0.00367701942783093,-0.00493445687261556,-0.00345476458210217,0.000877113197189372,-0.00501912245750843,0.00152200693235402,0.00262710019729217,-0.000588222035420326,0.00208226826310047,-0.00416387535303371,-0.00144998199502747,-0.000693828962485177,-0.00200319675902547,-0.00138726397417706,0.000228117050672879,0.00918652847623323,0.00472140977680684,0.00284845968698503,0.00106407151557685,0.00680425190258631,0.000823330720467791,0.0010873321245042,-0.00265311870699374,-0.00348014184117217,0.00583884504977349,-0.00235803559335634,-0.00494882725199188,-0.000696555292618804,-0.00252828152983952,0.00768922116174306,0.00298484741812443,-0.0035806753261508,0.00350902443095906,-0.000881051692921264,-0.000211910803853377,0.000319520845259233,0.00418060752811844,-0.0048090085459017,0.000826288674360644,-0.00230526772692702,-0.00372140563419244,0.00889229946611635,-0.00182663354311616,0.00118886524559048
4,0.0221980482010388,0.0256062722719054,0.329214033542625,1,0.872076979948172,-0.145810308891306,-0.000289414828719108,0.00309347100997211,-0.00332465999674948,-0.0033544852339937,0.00195574927589373,-0.00123813702621506,0.00694851386306093,0.00750995476401,-0.000370496516765702,-0.00132126189345448,0.00461102120655126,0.00195824256774728,-0.00725380733979716,0.00504915022664348,0.00472458878362789,0.000708024063809672,-0.00462565838261919,-0.00189397033909169,-0.00367219222273237,-0.0027760538213266,-0.00288031981028958,0.000389016425146172,0.00425029621187689,0.00508643228904008,-0.00198225261275771,-0.000236057336524969,-0.00590600568343731,-0.00436194682363841,-0.00395374784411406,0.00096406082259953,0.00172833357023842,0.00167614312530002,-0.00580440625658277,-0.00467835564418846,0.00212438473703621,0.000644688710533044,0.00318672467358887,0.00107963722908702,0.00252066186661431,-0.00086969771110056,0.00411419885819987,0.0142745235840203,0.00484538881035673,0.000876136473637512,0.000436228851957538,0.00606483330651516,-0.00205766077423429,0.00297960988289823,0.0106057760547564,0.0038365324711287,0.00512145339834767,-0.00168800688508439,-0.00363031224244418,-0.00134967456540521,-0.000923579473516758,0.00376862950146276,0.00110132699043492,0.00476634650919944,-0.00100829948537632,0.00295232558197778,-0.00124460913522031,0.00146601696609271,-0.00307685775698907,-0.00157966865059607,-0.00217050441170874,-0.00070936675941554,-0.00160278155030685,0.00261011121414924,0.000220280708271666,-0.00244385201351537
5,0.0384121614590861,0.0158086881109128,0.234689925275278,0.872076979948172,1,-0.110959871900526,-0.00651713497725554,0.00102238846701159,-0.00341414803926301,-0.00354958613737017,0.00447640120234669,0.0019774233894737,0.0132408735623717,0.0107070567994263,-0.00221593172569559,-0.00226899893704878,0.00766505503717646,0.0043040575863938,-0.0113577376463938,0.00862061734966533,0.00618626119418343,-0.000411598081926439,-0.00492743714026008,-0.00173689540457953,-0.0045371153379871,0.00137616393485669,-0.00278649723338205,0.000738941144051095,0.00538068389697943,0.00850669084303167,-0.00214919532979181,7.98573374971948e-06,-0.00808142088901764,-0.00610851256255853,-0.00458771491987241,0.00360297482147416,0.00497857625464185,0.00162442754426258,-0.00993457317623667,-0.005605410011734,0.00120328678348142,0.000548820740209742,0.00440011659092061,0.00246287091699242,0.00350561297408824,-0.00149126788041698,0.00360033138991581,0.0194067611437841,0.00598426713510196,0.000444647848447398,0.000448777337515581,0.00582695201559236,-0.00314018078866554,-4.80955839675952e-05,0.0144561504218549,0.00469341523254209,0.00945634334177049,-0.00231165428644974,-0.00333428597501773,-0.00248880891473836,0.000637281113481509,0.00341754865691139,0.000326750816814465,0.00939704895949637,-0.00225001409003089,0.00432941686029591,-0.00201498628432753,0.00153266567162666,-0.00607274952220608,-8.27088963551194e-05,-0.00476175583545873,0.000271205024446546,-0.000970138298113497,0.00348889928850106,-0.000709064037789324,-0.00599396017978743
6,0.0170902705011282,-0.000140649520909786,-0.0515759452401115,-0.145810308891306,-0.110959871900526,1,-0.13846178696274,-0.0112084468009169,-0.00281221567712518,0.00421374503137932,0.0122651825799696,0.0205226183849802,0.0369561878599539,0.0143539964349376,-0.0148739743550866,-0.00387627106937842,0.00808726123480479,0.00715081091315195,-0.0224732550223695,0.020480408102408,0.00704670725734174,-0.00422235738730256,0.00266073800782654,4.3627510119441e-05,-0.00890299716122661,0.0181201449824958,-0.006089204962806,0.000385615085678053,0.00197723051534852,0.0190375565055919,-0.00548674588914616,0.00664789619724541,-0.016483276446111,-0.00142281418836104,-0.00286886062369909,0.0120566588670962,0.0159789525267596,-0.00186557646619802,-0.0198322240597106,-0.0112952131729566,-0.00197735778433884,0.00424319569116635,0.0109990596972784,0.00961746301396997,0.0099723977081405,-0.0080058163402009,-0.00187907636836031,0.0150880443142848,-0.0028095370873484,0.00316344024503318,0.00490400539617787,0.00600314986891305,-0.00390257135305986,-0.00016475544747007,0.0179207452317426,0.011069087571035,0.011665385209603,-0.0046865447070497,0.00657051471937613,-0.0081582083498614,0.000370471502311765,-0.00598532531008058,-0.00501003612714067,0.0223464467873346,-0.0143652983128705,0.00497023479582687,-0.00307996461099243,0.000240118685595651,-0.0153015931108266,0.0124642947985786,-0.0212227675247396,0.00870015931480116,0.013009160585391,0.00131209238271191,0.00278441905370042,-0.0174926794168468
7,-0.0054581534127478,0.000193289007862839,-0.0121448230346294,-0.000289414828719108,-0.00651713497725554,-0.13846178696274,1,0.00366599884746647,-0.00110679572514019,3.84487579364659e-05,-0.00439376662467221,-0.00294537630748996,-0.00546272670732687,-0.00126803318941239,0.00333443976329922,4.76228163091161e-05,-0.00278197736211133,-0.0035863660443376,0.00342212676896864,-0.0043601940385763,-0.00223896773049209,0.00182265004477279,-0.000165076170258576,-0.00252597291707774,0.00112902578291659,-0.00244127734611723,-0.000724108146790588,-0.000422308255614983,-0.00064227480359146,-0.00525041277511769,-0.000158645317693105,-0.00100992132906581,0.00278231864771705,2.93730590796992e-05,0.00261630037428165,-0.00173387920891323,-0.00209186720363543,0.00114076777648756,0.00471421635766706,0.00147361209056431,-0.000945830709734102,-0.00241438938213234,-0.00351053269207273,-0.00293807218317897,-0.00359354594346058,0.00150821083448825,0.000670951481690607,-0.00522342291127029,0.00106808843870712,0.00283444258306967,0.0023687232020038,-0.000172951669401935,0.00364839400030047,-0.00160635410061754,-0.00407023936177547,-0.00256266667073093,-0.000285813351786033,0.000561923200228033,-0.000425296972091572,0.00146765893419754,0.000142962511486401,0.000570697907997313,0.00178571664090862,-0.00640008568624804,0.0019680920116799,-0.00295720049037415,0.000659721754895923,0.00224185980706536,0.00331919264046205,-0.000963704747575446,0.0035633845472606,-0.00141875210244677,-0.000932864747786349,-6.07132395013785e-05,0.000100025770881838,0.00308148470702253
8,-0.0181769468917336,0.0148567422673225,0.0093090142161309,0.00309347100997211,0.00102238846701159,-0.0112084468009169,0.00366599884746647,1,-0.305943831532816,0.0231826928491558,-0.0765964201469854,-0.0183715451649835,-0.0356512075686463,-0.0056675671712167,0.0139131233289897,0.00603360973899951,0.00185497089131706,-0.0140840647792478,0.00804092523134177,-0.0134587997695191,0.00398854910027137,0.00482214223810193,-0.0147358252843634,0.00871869882789944,0.00403723738696596,-0.0159743834498601,0.00432209261986021,-0.00220873237089041,-0.00569735179799964,-0.0157803806364628,0.00312977007564775,-0.0151501118634756,0.014430548346534,-0.00635433459222643,-0.00554032000602229,-0.00847407508276755,-0.0167870814585052,0.00577077200721753,0.0204875946416298,0.00486674353450103,0.00538440220439741,-0.00844533070286384,-0.00565854097600457,-0.00502446259103221,-0.00625789210036112,0.00294680238116664,0.00363885232001418,0.00820454198939728,0.010707164342458,-0.00482935204557944,-0.00799723376269463,0.00259692410093414,-0.00157060331439375,-0.00584580294177289,-0.01934098521826,-0.0115857262140459,0.00226540245374714,0.00170019271682636,-0.0116306380574499,0.00236527767811884,0.00139218696657849,0.0160139283125244,0.00477849403342509,-0.018620052802791,0.00990860051575927,-0.00156464911615229,0.00348440832903143,-0.00445117230544062,0.0147856404633606,-0.0150209632022556,0.0131713634235976,-0.00847433754543893,-0.016823588051948,0.0157529699793375,-0.00882809798541878,0.0145732504507037
9,-0.003403977233599,-0.00344886195429907,-0.0030781448349643,-0.00332465999674948,-0.00341414803926301,-0.00281221567712518,-0.00110679572514019,-0.305943831532816,1,-0.00932888674658604,0.0158165267040665,-0.00267430495106471,-0.00255992954732352,-0.00288817811967493,0.00313732465913388,-0.00257736947020636,-0.00199329301194353,0.000682645241581064,0.00751967427424642,-0.00457057861873815,-0.00495491744499011,0.000241808558690012,0.00211250947342998,-0.00189368941114417,0.00442095340134633,-0.000435403317397084,0.00152463332681565,0.000974073856164784,0.00147735374432237,-0.000383419427272028,0.00152777796037756,0.00414404431925332,0.00199065869932011,0.000519515371719182,0.00199928384957014,-0.00156749300831875,-0.00266006776888302,-0.00289182616961356,0.000281521744647388,0.000282698522614865,0.000332948724535572,0.000619168278897654,-0.00335715143017448,-0.00275973736819391,-0.0028691885712359,-0.000252616730594226,0.00192139339053691,-0.00790642955266061,-0.00387803066749516,0.000221545370348453,0.00058517286208136,-0.00175910200217091,0.00102321239213205,-0.00033019366164562,-0.000217728006176568,-0.000236995789786487,-0.00703553713325088,0.000828478274271778,0.0031848330451919,-6.29386074584885e-05,-0.00118847260335689,-0.00390685082740495,-0.00322887316674485,-0.00373294177144465,0.0023372810880533,-0.000901102588526835,-0.00164252336673526,-0.000813755364749605,0.000292828855889991,8.61404758201976e-05,0.000815176228136381,0.000624901622484366,0.000317420880042922,-0.0050613939286597,0.00337274649734397,0.00275081041607483
10,0.0145522340695049,-0.0112240718451646,-0.00795829690175051,-0.0033544852339937,-0.00354958613737017,0.00421374503137932,3.84487579364659e-05,0.0231826928491558,-0.00932888674658604,1,-0.108040853693929,0.0103214699424699,0.0230344677566748,0.00136938451876279,-0.00694741266297362,-0.00435030217263262,-0.0016783203346241,0.00908223864145423,-0.00584838399164795,0.00968635334666819,-0.00287667915204389,-0.0010350517367145,0.0104746738714415,-0.00256013429343969,-0.00103132938411326,0.012727945347491,-0.000435988939971866,0.0039875157968238,0.0043538863603478,0.00963385867424587,-0.00095434050158431,0.00986773035761829,-0.0103929063314204,0.00317752947253545,0.00459644616146883,0.0091867953735649,0.0152410410545808,-0.00109540189205151,-0.0134945092526912,-0.000136092198294296,-0.000802231805841611,0.00732105024126436,0.00667001894390918,0.00583174884615461,0.00754387695736165,0.000584935349712578,-0.00341680106318592,-0.0124646686569143,-0.0123616136144699,0.000721815360110784,0.0027297259044601,-0.00294112107199212,-0.000938994673672482,0.0050634091540815,0.0120451113096761,0.00721473082905404,-0.00179312909459892,-0.000361072649323348,0.00857294427429764,0.000151529121014705,0.00230475997255777,-0.01021799720589,-0.00589368249904601,0.0128899811400108,-0.00527933765649814,0.000878057374405221,-0.000790693850043005,0.00325074482510229,-0.00769151831828386,0.00766400166092795,-0.00735597473602515,0.00233649908650738,0.0126129165066388,-0.010705449979242,0.0054479315005014,-0.00935004404524096
