"you_index","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,1,0.024611318984945,0.00757436465705073,0.000317429401610229,0.0023307197899711,-0.00653883147191179,-0.00923829650391816,-0.0203547284635119,0.00307914658944421,-0.000209923888872182,-0.00231887103762067,0.0055849517977064,-0.00744792044553009,-0.00252521438184407,0.0154147183321269,-0.0115810967346304,-0.0155860973051407,0.00743438378271768,0.00683472896886589,0.0064313431151111,-0.0107549239172198,0.00264056629282075,0.0148410869359338,-0.00537152847221814,0.0149277518927984,0.019679449156285,-0.0114056260674173,0.00903021464896027,-0.0155959962090466,0.00425820788576956,-0.0104264795926236,0.00333467312035065,0.00351824286186204,0.00909332625230654,-0.00589488622249084,-0.00666549237940892,0.00302227500132809,-0.00271136983098321,0.0116041052819551,-0.00908895198074809,-0.00286744612385459,-0.00140120273382909,-0.00152868154282237,-0.000396495882406951,0.00348669658203774,0.00442594920527959,-0.0129105785359007,0.000251497969592998,-0.0170127186694684,-0.0189950730465538,0.0211015505435759,0.00312790345449672,0.0145435344773937,0.0105351692828352,0.00468142121245377,0.0328638610104751,0.0101544075653782,0.000507491662843751,-0.00386391294545194,0.0428085469707007,0.0419969872513644,-0.00282126383138602,0.0481573104123628,0.00694950314600238,-0.0132989281125296,-0.00847656365273217,-0.0172850984872631,-0.00849367395434157,0.0236742536309532,0.0194547102476668,-0.00323071451067687,0.00721435261478154,0.00473001145920426,0.0134534732160456,-0.0124611755657335,-0.00524376284097072,0.0201115240489632,-0.00676160140801965,-0.00618644140669967,0.0112041181803863,-0.0128172891453076,-0.0115517650684661,-0.0132224154714853,-0.018213900994979,-0.0026745544589658,-0.00274162322469801,-0.00220717788971441,-0.00118041512962219,-0.00566209349798133,-0.00580260679699503,-0.00311616487625452,0.00148465441152806,0.00324864386701814,-0.00811282879081478,-0.00149484599863642,-0.00417691938390106,-0.00568650259070505,0.00228592118173404,-0.00304711242454379,-0.00481786786181556,0.00936138537703059,0.00572969727782308
2,0.024611318984945,1,0.00973566173425297,-6.91575635455442e-05,0.00106717725064859,-0.00163561132790831,-0.00473269002650728,-0.013291803847029,-0.00050026515406662,-0.000167045731365097,-0.00174314439256955,0.00219712426245003,0.0026786760631791,-0.00415759803437175,0.0120794099320519,-0.000480961248645872,-0.0139064211070118,0.00813545505405645,0.00440488329927835,0.000633996163638201,-0.00701220509794639,0.00390979082565195,0.00822423569511466,-0.00807218009512159,0.0107336817416585,0.0100228979047181,-0.012794526349399,0.00737018900484761,-0.00883325107907509,0.0089323730323173,-0.00990871184827192,0.00178756333497358,0.000732969890660506,0.0060653791909164,-0.00451028122462985,-0.0062186971815973,0.00319683738026383,0.000907790843803026,0.00908394784275476,-0.00486057396914179,5.54423284562168e-05,-0.00142791778717297,-0.000157715268223246,-0.000577387838542348,-0.000857638381858101,0.00393811901152863,-0.00773516688838602,-0.00183833481796962,-0.00859147530527558,-0.0100798579888655,0.00989077473414351,0.00472353637406388,0.00785762077246318,0.00416335318627324,0.00475068937257157,0.0231616163791994,0.00753531597650161,0.0019555650211378,-0.000700669868372254,0.0294057989990169,0.0293689455263868,-0.00369815598272516,0.0323309450429263,-0.00110656512619387,-0.00638019874593401,-0.00278531831520518,-0.00767511883760782,-0.00196123894139567,0.0134337972697448,0.0124814360367678,-0.00370419259369323,0.00424231916640826,0.000717088647001572,0.00519755804827137,-0.010705317139738,-0.00546507078580204,0.0114831688864103,-0.00531422341610531,-0.00113694860110758,0.006752199190636,-0.00538007078760964,-0.00255316370519713,-0.00552765827808642,-0.00870334260341891,0.000162588899263572,-0.00369362184757364,-0.00433244580770303,-0.00096596559843466,0.000784419105263807,-0.0060588293436156,0.00170367483455967,0.00212060109847905,0.00440605543811231,-0.00248864611271016,0.00244689638124624,-0.00202463723708018,-0.00484624113595412,-0.000295037126148448,-0.00122780992586498,-0.0034469778616901,0.00358355549583858,0.000866326180899925
3,0.00757436465705073,0.00973566173425297,1,0.000117118894965647,0.00143469576075032,0.00228984323514639,-0.0064800738459391,-0.0117345493654313,-0.00555238288862163,0.00155455948079507,0.000577315713168975,0.0031849950149541,-0.000525155980358682,0.00336420222364932,0.00656213912289354,-2.75035992150969e-05,-0.00568678855994728,0.00915846472106189,-0.000108524204272041,0.000498073838773663,-0.00473581632840856,0.00179705638932668,0.00373207698064985,-0.00544687263162695,0.00800892744159299,0.00398604031550692,-0.00850974420835288,0.00712804094713206,-0.00792519771948995,0.00115217506121461,-0.00108774962401557,-0.00244569644528919,0.00391374483230756,0.00633871865593465,-0.000564733014663017,-0.00217256969290914,0.000914909589676665,0.000657039542642832,0.00726823216905386,0.00349254426404008,0.00186321821829399,-0.000458389421470536,0.00371126879578472,-0.00303158372683141,0.00035209905684301,0.00349830930200134,-0.00746633907080236,-0.000821177836402282,-0.00841110025147626,-0.00932888361733335,0.00548100958353798,0.00182511873292317,0.00546232506885401,0.00210671061025698,0.00322651662646489,0.0119784812585481,0.00277131945341266,-0.000239984476973497,0.00174440595822679,0.0123329528562389,0.0123749535008598,0.00133824611562664,0.0146183483443125,-0.00546561195237066,-0.00813521086200291,0.000770217492351635,-0.00114349506448854,0.00310659207329771,0.00796989786850448,0.00678202154109954,0.00198080761347073,-0.00142959159255594,-0.00207742657536016,0.00167572791114961,-0.00598910895340523,-0.00886781022554934,0.00343853784195233,-0.000728506266646226,-0.00099310874960061,0.00335738511525636,-0.00254957309253834,-0.00270286463396062,-0.00381503868749151,-0.00167680547965026,-0.00320220554625847,-0.00314176245689721,0.00381088725995755,-0.000141736371004134,-0.000449309762665424,-0.00379351609783513,0.00101944974702149,9.51515802825582e-05,0.00498175904904263,-0.00196218167656251,0.00486585004631867,-0.000548776430950696,-0.00218451991177618,0.000970911649925099,0.00116536012631548,-0.00343759434246236,-0.00367898240211226,0.00171988511718906
4,0.000317429401610229,-6.91575635455442e-05,0.000117118894965647,1,0.978670566634465,-0.00400500239292436,-4.9598002053817e-05,0.0044957702403174,0.00294009596891462,-0.000579779638644192,-0.000264137595009115,0.00345825086433013,0.00095674303065012,-0.0056835985911778,-0.000687066159933362,0.000472345556423321,0.00177700333365092,-0.00678729642190495,0.00256765539164345,0.00213702973926227,5.28750262835654e-05,0.00178615909056871,0.0021910306263854,-8.95302873004017e-06,-0.00226905674575417,-5.38998005425751e-05,0.00372081256318825,-0.00190919012770939,0.00230783235122849,0.000916200339525018,-0.00135929857871641,0.00531725062101629,0.000450879348352398,-0.000620186726429571,-0.00113691506074564,0.000399098116584307,0.000340867872797711,0.000768048225346398,-0.00398184285746388,-0.000866948635656931,-0.00307762857578283,-0.0013916280969722,-0.00247729350785163,-0.00140328621798421,0.00227389101890957,-0.00191576485229187,0.00333612612224831,0.00190355620577684,0.00513504191388749,0.00538675887290042,-0.00204653374566837,0.00170375197877399,-0.000388770644538601,-0.00252291556094485,-0.00400151141527345,-0.00629593092101828,-0.00155709020395291,-0.00371726854296214,-0.00134384690215422,-0.000774237531646463,-0.00108737078121595,-0.00100034905263383,-0.00080716225324571,0.0033738861166104,0.00286035286132082,-0.00440610251321533,0.000314019292622519,-0.000348031910465005,-0.00105001387797921,-0.00344183351278318,-0.00327136345840458,0.00118063346412983,0.00119639232866416,0.000504584749657524,0.00354918868931055,0.00547118231967506,0.00325955172974144,0.00182935323165848,-0.000486641212120993,0.00104256233437509,0.00233786053422719,-0.00289795575463706,0.00242401116921335,-0.0027148012856291,0.000358140494116116,0.000393408284233783,-0.00143913337756418,-0.00220414027992493,0.000334920233108505,0.00207044291315093,0.00102863943889889,0.000216545828985239,-0.00242650133936234,-0.00184980336489125,0.00132114695841127,-0.00442600472406309,-0.00193661825639442,-0.00209138867634171,-0.00152699785793233,-0.000399593343674773,0.00612995715586107,0.00306381322019464
5,0.0023307197899711,0.00106717725064859,0.00143469576075032,0.978670566634465,1,-0.00458510340883378,-0.000326058039280944,0.0037039902526317,0.00422696393651455,-0.000479587831089961,-0.000530715745721993,0.00374076878808685,0.000228478101323219,-0.00676737914403902,0.000803161994433782,-0.000254325696426841,0.000117386144089951,-0.00637940012165161,0.00305446945317698,0.00231897153670439,-0.000976066290337199,0.00158441528239492,0.00402615067072038,-0.000521493292320356,-0.00145181758973305,0.00215935687822982,0.00353137702945153,-0.00155346840714252,0.00135185824838601,0.00161921677020671,-0.00218544177390336,0.00568190385087635,0.000706208234652497,-0.000105634606631146,-0.00181204799649948,-0.0003748615741999,0.000724215331682649,0.00108082679991163,-0.00328590948690105,-0.00177957840666919,-0.00364932380216905,-0.00134659496245768,-0.00301081786148946,-0.00122416030023013,0.00221573558272043,-0.00226255751392817,0.00281120734390638,0.00246721734409767,0.00400463212751871,0.00393190326963778,-0.000116248290025131,0.00212806942345988,0.00120891290158399,-0.00156991359595001,-0.00341593332154839,-0.00384564191992024,-0.000639135725348154,-0.00382656424262595,-0.0014463342946521,0.00291403576982809,0.00249606235440011,-0.00119725881423459,0.0034449066876613,0.00432721651293915,0.00218608139656627,-0.00561108998589736,-0.0015848034931968,-0.00159457541370391,0.000726656930907879,-0.00215194397607828,-0.00369759010316239,0.00152414006307195,0.00171182062879518,0.00160738054289961,0.00261944662883957,0.00468075361996731,0.00545922785349279,0.00100896294821815,-0.00133825784100386,0.00227796288354802,0.00154778618754342,-0.00453334082438708,0.00147915434711852,-0.00431540478980783,0.000294258990749052,0.000171805040538765,-0.00166802305688758,-0.00178631678216284,0.000254975384302406,0.00201423679711592,0.000950022119738822,0.000184989937198779,-0.0025621386081269,-0.00297928446615159,0.00135819293888664,-0.0052360878503531,-0.0021302916316648,-0.00249874815193183,-0.00239560182270412,-0.000855690289636673,0.0073294921414981,0.0035802922421781
6,-0.00653883147191179,-0.00163561132790831,0.00228984323514639,-0.00400500239292436,-0.00458510340883378,1,-0.151125150727596,-0.148057254843068,-0.064332426028549,0.0198741926048521,-0.0148256318926018,-0.0212504552106141,-0.0224184777024285,0.0436776202362804,0.00678253773323356,-0.0146280934726485,0.00412938090989668,0.00321331857974336,0.00234563883154136,-0.000253503917816404,0.00452326864824291,-0.00278498235481128,-0.00823938158599061,0.00215652880438081,-0.00742442379870487,-0.00830913069227679,-0.00082562511427837,-0.00125050542105687,0.0022086380806013,-0.00132330672138012,0.00473469168119943,-0.00543729026865504,5.37152293668043e-05,-0.00313937689832578,0.000945619975273729,0.00383373774211787,0.0014665909840126,0.00237458111527742,0.00087418680789184,0.00867202610365831,0.00368281155798939,2.20260764010503e-05,0.00464796254348145,-0.000877155619388686,-0.00328871115318936,0.00462338948573627,2.5446677201066e-05,-0.000454214767926636,6.14981976239601e-05,0.00159841647546095,-0.00618434218889289,-0.00230410898336243,-0.00421966404695521,-0.00154812907360489,0.000629438202183231,-0.00878454074751768,0.00016758246759992,0.0010930109429943,0.00245320434756928,-0.0131459729448801,-0.0127192118443851,0.00396809975135346,-0.0145645547887512,-0.00736932114722511,0.004605508696273,0.00417191279203313,0.00829885429159253,0.00569741869636385,-0.00702013804113887,-0.00552281147197508,0.00327698541641316,-0.00287432233642157,-0.00295412707509509,-0.00697322108484068,-0.00014043252645663,-0.00346685586974118,-0.0108201956825775,0.00551977015111824,-0.0012098897992005,-0.00427842540605633,0.00340751105903108,0.00257532976198885,0.00441544797352162,0.0061573903752214,-0.0053124173621235,4.09036030632754e-05,0.00355405448396448,-5.98395737300887e-05,0.00537334616068163,-0.00163378736218043,0.00311467613783806,-0.00108336551872963,0.00118804163800199,0.00488742772435138,0.000447313296343939,0.0028406096751608,0.00149640479833679,0.00045953408838158,0.000465046370471548,-0.000767556600792009,-0.00840750682042154,-0.00275950766810258
7,-0.00923829650391816,-0.00473269002650728,-0.0064800738459391,-4.9598002053817e-05,-0.000326058039280944,-0.151125150727596,1,0.112818194646844,0.105489335083646,0.0495336240174993,-0.0031120179514516,-0.00287887013388527,0.0315121554887831,0.0112464124131844,-0.0272421715056493,0.0263168692355948,0.00711724365392307,-0.0124041747418405,0.000348164002772413,0.00233822319821916,0.00365997045377186,-0.000399822093637926,0.000229803643366601,0.000699182471647323,-0.00668229976996061,-0.00232093791043625,0.00884543702573196,-0.00490452079497038,0.00717098158827865,-0.00580399821523378,0.00338173818260536,0.00717241107768174,-0.00495004415101046,-0.0077627477706551,-0.00102249259187679,0.000460863522297775,-0.00521032807974341,-0.00133320840221099,-0.0103870584410567,-0.00295163427044258,-0.00175683639224267,0.000654838125200813,-0.00324240621894449,0.00484805805527624,-0.000787500025578749,-0.00449208550729226,0.0084103940784805,0.000172362874189189,0.00938458718688086,0.0103238166337216,-0.00601498430146943,0.000462907367782529,-0.0042658567930249,-0.00260904561197225,-0.00480426073137872,-0.00953717330764435,-0.00406449608622764,0.000412871553337366,-0.00164445728269835,-0.0118520583135647,-0.0118282447776294,0.000599653832568944,-0.0142850967449473,0.00293663375977704,0.00787187994878391,-0.00238808811078936,-0.000341344227730829,-0.00321502357811984,-0.00613441274931945,-0.00611922115139636,-0.000886109347930708,0.00356476002617455,0.00315637959773897,-0.000243513462742757,0.00660743762861157,0.0043037712541024,9.64954298901818e-06,0.00300732502749271,0.00218199837272323,-0.000681133640698412,0.00341939985375099,0.00607547716627632,0.00302663356160793,0.00197177677437146,0.00415892821075539,0.0023480241700158,-0.00116343424443326,-0.000356480176382855,-0.00140668405118758,0.00220528399901644,0.00118783652407981,-0.0024223572915544,-0.0032555245116398,-0.000407226389126584,-0.0018326720441118,-0.000121198127494215,0.00215134108757298,-2.25803350958232e-05,0.00264950027865168,0.00594156693497366,0.00393596888606208,0.00169250790919045
8,-0.0203547284635119,-0.013291803847029,-0.0117345493654313,0.0044957702403174,0.0037039902526317,-0.148057254843068,0.112818194646844,1,0.472709122499916,-0.00566653449673454,0.0760329920687476,0.017047252660122,-0.0113504858621013,0.0208894021898983,-0.0103181589953459,0.0214135446179269,0.0231710884094231,-0.0139652052014266,-0.00178869924723386,-0.00132640935633092,0.00955856705695415,-0.00432937369919659,-0.0140921606950484,0.00571863382288267,-0.0178030553568659,-0.0189414024683828,0.0128742892208517,-0.0124312163863053,0.0146446820946112,-0.0108827090030481,0.0130603743299172,0.00175712794745424,-0.0024690529073314,-0.0102729548592434,0.00247531803004898,0.00376424790851834,-0.00607469981883061,-0.000934978042101212,-0.0178624148425191,0.0103603181393323,-0.00345477446119081,0.00214979849580915,-0.00169109332932223,0.00268543205432834,-3.62022023335612e-05,-0.000555925293150632,0.0142413953526602,-0.00153515023670702,0.0178500092345855,0.0211305975544246,-0.019583920965976,-0.00300510043881478,-0.0141995394972309,-0.0117357377211018,-0.00647715571725969,-0.0345417468837936,-0.0140366258163227,-0.000386475921537419,0.00270432846310896,-0.0399978484118597,-0.0393481882233337,0.000956228947450687,-0.0447165110857901,-0.000300714283677645,0.0148824163501444,0.00412218846586266,0.0104821036938656,0.000338215513511101,-0.0233683507448724,-0.0155783425519992,0.00126012097832053,-0.00513402050329975,-0.00131783185158616,-0.0114690499203822,0.0172776120810697,0.0112853027418472,-0.0151018720698542,0.00906273780394719,0.00617090892856312,-0.0108921041107263,0.0100173889719845,0.0110445371538157,0.0111702073505,0.0114686829138357,0.0051233752556584,0.00763535760931955,0.00259439815689722,0.00755821249261606,0.00051397897279105,0.00871033190704308,0.000972218175572082,-0.00342750728195704,-0.00889432440340582,0.00475888598447144,0.00222244134120472,0.000512545091405024,0.00701348663731518,-0.0011028887446053,0.00425228947809692,0.00680336056667744,-0.000614035402298076,-0.000556348886824741
9,0.00307914658944421,-0.00050026515406662,-0.00555238288862163,0.00294009596891462,0.00422696393651455,-0.064332426028549,0.105489335083646,0.472709122499916,1,-0.0024989625243187,0.0881244656339792,0.0432836281773567,-0.0373390264389268,0.0151782423904975,-0.0172530248624863,-0.00116159713452909,-0.00555915882042734,-0.00984529495851242,0.00435247014722212,0.00495207527389687,-0.0043588220880101,1.25511674096045e-05,0.00913836493415259,0.00452082175480515,0.00335342320692066,0.0128262573256294,0.00792811811518431,-0.00436969486118034,0.00123327617158253,-0.00519184557400985,-0.00313541209059982,0.00775341055854713,-0.00295709176223873,-0.00146717875896673,-0.00551588896861692,-0.00716214072519573,-0.00262069630865356,-0.00380323748842906,-0.00581188980300495,-0.00878975616826793,-0.00937866710473438,0.00516466522856875,-0.0059682333000302,0.00517211715923395,0.00428401136748554,-0.00586398220548951,0.00173902199534147,-0.00369092143223037,0.00314922755387564,0.00427156040915019,0.00280687313779126,0.00102647867411343,0.00162859158178665,-7.83810701096889e-05,-0.00162192867486005,0.00500416748174954,-0.00311908539397572,-0.000507332510572965,-0.00298127805622285,0.0101971390040517,0.0102624519237971,-0.00521042552265439,0.0123434572402825,0.00998092199476244,-0.0017319950884047,-0.00613296391378815,-0.0121487115514374,-0.0110022089366401,0.00222641578491581,0.0083446724778647,-0.000271834286888266,0.00714143921704961,0.0108957857643454,0.0113489832546221,0.00367203557178569,0.00640174459648408,0.0119588862316698,-0.00168372008367853,0.000812330955959616,0.00117799035665537,-0.00189421553399098,-0.00192085829694778,-0.00286356218153426,-0.00813385383406342,0.00675027756969131,0.00549100598347306,-0.00140042718854989,1.15876892460215e-06,-0.00361654717712711,-0.00307864076267226,-0.00170814040151139,-0.00116892489717268,-0.00358382769952401,-0.00861958049694941,0.00102507132265367,-0.00287492683067697,0.00170797531160089,-0.00278541691442758,-0.00155080701464937,0.00355455900706861,0.0108835839323348,0.00502287714849879
10,-0.000209923888872182,-0.000167045731365097,0.00155455948079507,-0.000579779638644192,-0.000479587831089961,0.0198741926048521,0.0495336240174993,-0.00566653449673454,-0.0024989625243187,1,-0.25091263890425,-0.0649781275863174,0.0955681950294667,0.136503051898519,-0.366011978020063,-0.186475410079904,-0.00144083282316468,0.00360153459471587,0.00155538964901381,-0.000209458514453254,0.00139077304171313,-0.000516509661672898,0.00100916114176216,-0.00168033004705275,-0.00138995136453462,0.00242789351404393,0.000880926893142931,0.00117644649620828,-0.00308943771413095,-0.00154340682662427,0.00289801834218041,-0.0009409873436789,0.00327269513132372,0.00419870202805914,-0.000472504453013833,0.00139644219908243,-0.00125761973738035,-0.000164200168723005,-0.0013395155223544,0.00117109888119039,-0.00389896668941981,-0.000325563040989926,-0.000500363970383376,0.00191858590050391,-0.000611734681836546,0.00271174676127492,0.00237380100817703,0.000150081598575797,0.00247292054896032,0.00283944764415471,0.00133023487477539,0.00279637132913664,0.000822861283625147,0.00170308032191266,0.00103432010869864,0.000367392849182496,0.00281716324599726,0.000516473025545037,0.000830676777127281,0.00425713439306157,0.00378323726022262,0.00305094738805964,0.00565910704971741,0.002819901327091,-0.000495300013895147,0.00124362035014823,0.00426545882816752,0.00300659993105118,0.00160810114578699,0.00131023295216983,0.00207137933761286,-0.00134985293916474,0.00102437794640211,0.000415963295274115,-0.00152671750274456,-0.00106930348881001,0.000206717565475782,3.20971252918761e-05,-0.000839745464372068,0.00555205113364285,0.0043394984957121,-0.00194170776401609,0.00397173181503277,-0.00066814932702966,0.00104874564578266,0.0003801656968128,0.00179715534510651,-0.000450451444213198,0.00116557571985914,0.00313795461378795,0.00254404697187436,0.00276095611745109,-0.00377865039543092,-0.000854599107051202,-0.000479433397917387,-0.00101395675610809,-0.000873831910765241,0.00080341054244828,0.00400556987659165,-0.00202830936413963,0.000877722308459876,-0.00185419350083502
